stop_id,stop_name,stop_lat,stop_lon
ST_100395,17 Giải Phóng - Biển báo số 1,21.004522323608,105.84154510498
ST_100875,101A2 TT Trung Tự - Phạm Ngọc Thạch,21.009742736816,105.83541870117
ST_100876,104 C1 Tập thể Trung Tự - Phạm Ngọc Thạch,21.007858276367,105.833152771
ST_100127,Công ty in thương mại & dịch vụ ngân hàng - Số10 Chùa Bộc,21.007392883301,105.82864379883
ST_1001173,2 Thái Hà,21.00986289978,105.8233795166
ST_1001174,176 Thái Hà,21.013072967529,105.81997680664
ST_1001175,Rạp chiếu phim Quốc Gia - Thái Hà,21.016067504883,105.81583404541
ST_100464,Đối diện Đài Truyền hình Hà Nội,21.017017364502,105.81423187256
ST_100465,20 Huỳnh Thúc Kháng,21.019468307495,105.80910491943
ST_100733,89 Nguyễn Chí Thanh - KTX Đại học Luật,21.021419525146,105.80936431885
ST_100734,73 Nguyễn Chí Thanh - Đối diện Khách sạn Bảo Sơn,21.023818969727,105.81076049805
ST_100174,Ngõ 1072 Đê La Thành,21.02730178833,105.80941009522
ST_100175,1144 Đê La Thành (đối diện 191 - ĐSQ Nga),21.028392791748,105.80609893799
ST_1002034,CV Thủ Lệ (Cột 2),21.029136657715,105.80386352539
ST_100112,106-108 Cầu Giấy - Khách sạn Cầu Giấy,21.031717300415,105.79975891113
ST_100113,250-252 Cầu Giấy,21.034324645996,105.79648590088
ST_1002309,Hè trước số 370 Cầu Giấy - Nhà khách quốc tế Bộ Công an,21.035882949829,105.79191589356
ST_100114,Học viện Báo chí và Tuyên truyền - 36 Xuân Thủy,21.03652381897,105.78904724121
ST_1001412,Gần nhà sách Sư phạm (Đại học Sư phạm Hà Nội) - 136 Xuân Thủy,21.036729812622,105.78411102295
ST_1002023,Đối diện ĐH Thương Mại - 6 Hồ Tùng Mậu (Cột 2),21.037563323975,105.77500152588
ST_100557,Trung ương Hội KHH Gia đình Việt Nam - 2 Lê Đức Thọ,21.036010742188,105.77070617676
ST_100558,Nhà CT2B KĐT Mỹ Đình - Lê Đức Thọ,21.031633333333,105.7693
ST_100561,Đối diện đường vào Trường CĐ nghề Trần Hưng Đạo - Lê Đức Thọ,21.025169372559,105.76695251465
ST_1001708,(B) Sân vận động Quốc Gia 26,21.019466400146,105.7673034668
